directory,dep_mgr,exec_err,c1_commit,c1_results,c2_commit,c2_results
cumulus-1/data/95/19/384931,Godep,true,a5f75b4ec210a10c0b4e3ceae7cf6dc16fb35043,2154,,-1
cumulus-1/data/9a/50/460543,Get,true,,-1,,-1
cumulus-1/data/a0/0e/185631,Get,false,3ad7b4379454d41dc287081d455492b3b00b81df,3346,89e12b382f458170d0b76ba6f4550bbdaf1b4789,3578
cumulus-1/data/a3/80/414695,Get,false,6ed8f70898cf9ae624f665d4ad1fa86f872712bf,2565,cb65e7f94a849e888c7590e39050270f6e6284e9,0
cumulus-1/data/a3/f2/182120,Get,true,fd5f0dd25a809c61cd4f7f6dfa3d55864961cb80,0,,-1
cumulus-1/data/a4/27/391448,Get,true,d56f99c176184375ba9e28bdc96286825f206711,0,,-1
cumulus-1/data/a4/ef/227585,Get,true,,-1,,-1
cumulus-1/data/a5/bb/261572,Get,true,,-1,,-1
cumulus-1/data/a7/16/174911,Glide,true,948d80b1988264b0fb6ef009b1a989511f08227e,2172,,-1
cumulus-1/data/ac/2f/107363,Get,true,,-1,,-1
cumulus-1/data/b0/e1/187264,Get,false,40f6a2ed4e5b89731ce4f50558f49540ac43237b,2960,8d9dcf01e4f7c620bb915ed25f22ec478f4e9191,0
cumulus-1/data/b0/fe/223066,Get,true,6c64ce0d958a844106715cfaf52d7bd8ceef4af6,520,,-1
cumulus-1/data/b2/7d/422751,Get,false,4098a5faeff15130723df4c809d39c4d5faac3e4,3214,7e417402bf021a519dbd0a915701e3fa23934955,0
cumulus-1/data/b2/8c/185397,Get,false,5fdf0ec469b68d844cbe36ace8101ead16359f1d,2562,ff884a3be97c4595181e2cd7b118fd77263de70d,0
cumulus-1/data/b4/46/20204,Get,true,,-1,,-1
cumulus-1/data/b5/52/151253,Get,true,,-1,,-1
cumulus-1/data/b5/7d/151125,Get,true,a8fd883642f438ba06bd46c793dc8562b2eb7749,3216,,-1
cumulus-1/data/b7/15/179775,Get,true,1afac3428dd45c5495ba844f2f257d6b0e2493fd,0,,-1
cumulus-1/data/ba/e1/333210,Get,true,b282640b93f349cd208f8d5921df2cfaf5780ee2,0,,-1
cumulus-1/data/bb/91/344131,Get,true,001601eca21b31894f024751a8645875422d9914,2506,,-1
cumulus-1/data/bd/29/104149,Get,true,8ce6181c2609699e4c7cd30994b76a850a9cdadc,3776,,-1
cumulus-1/data/bd/99/381256,Glide,false,3db44335a0752c671ce44d2ca3ffa2b9990c1173,1666,5abe00c75b851fe9890f9c096e2522d4f7449680,0
cumulus-1/data/be/0d/101707,Get,false,ac27d1805a555e1754fa177216ee07f4e63c30b5,2865,f3e8327e119e3347bff62194b3a4ef8332e3e52f,0
cumulus-1/data/bf/3e/344993,Get,true,9d92c1999f49cbdcf4239b5e5f6845b7d391f175,2508,,-1
cumulus-1/data/c0/fb/24081,Get,true,7ef6ac766e6ae6565d082792eb10d006736fd8d1,178,,-1
cumulus-1/data/c2/2a/218703,Get,true,7438d6acf5626e9b9356ab385f56646a13e606ae,2004,,-1
