directory,dep_mgr,exec_err,c1_results,c2_results
cumulus-1/data/a0/0e/185631,Get,false,3346,3578
cumulus-1/data/a3/80/414695,Get,false,2565,0
cumulus-1/data/a3/f2/182120,Get,true,0,-1
cumulus-1/data/a4/27/391448,Get,true,0,-1
cumulus-1/data/a4/ef/227585,Get,true,-1,-1
cumulus-1/data/a5/bb/261572,Get,true,-1,-1
cumulus-1/data/a7/16/174911,Glide,true,2172,-1
cumulus-1/data/ac/2f/107363,Get,true,-1,-1
cumulus-1/data/b0/e1/187264,Get,false,2960,0
cumulus-1/data/b0/fe/223066,Get,true,520,-1
cumulus-1/data/b2/7d/422751,Get,false,3214,0
cumulus-1/data/b2/8c/185397,Get,false,2562,0
cumulus-1/data/b4/46/20204,Get,true,-1,-1
cumulus-1/data/b5/52/151253,Get,true,-1,-1
cumulus-1/data/b5/7d/151125,Get,true,3216,-1
cumulus-1/data/b7/15/179775,Get,true,0,-1
cumulus-1/data/ba/e1/333210,Get,true,0,-1
cumulus-1/data/bb/91/344131,Get,true,2506,-1
cumulus-1/data/bd/29/104149,Get,true,3776,-1
cumulus-1/data/bd/99/381256,Glide,false,1666,0
cumulus-1/data/be/0d/101707,Get,false,2865,0
cumulus-1/data/bf/3e/344993,Get,true,2508,-1
cumulus-1/data/c0/fb/24081,Get,true,178,-1
cumulus-1/data/c2/2a/218703,Get,true,2004,-1
cumulus-1/data/c2/83/111521,Get,true,2144,-1
cumulus-1/data/c4/d3/374679,Get,true,0,-1
cumulus-1/data/c7/91/322131,Get,true,2969,-1
cumulus-1/data/c8/f7/157067,Godep,true,1758,-1
cumulus-1/data/c9/d4/82757,Get,true,0,-1
cumulus-1/data/cd/cb/338740,Get,true,-1,-1
cumulus-1/data/cf/39/474824,Get,false,2524,0
cumulus-1/data/cf/cd/431519,Get,true,-1,-1
cumulus-1/data/d0/ad/334411,Get,true,0,-1
cumulus-1/data/d1/de/351452,Get,true,-1,-1
cumulus-1/data/d2/2a/41469,Get,true,-1,-1
cumulus-1/data/d5/7c/182457,Get,true,-1,-1
cumulus-1/data/d7/aa/213570,Get,true,1990,-1
cumulus-1/data/d9/8a/233006,Get,true,0,-1
cumulus-1/data/e0/b7/325478,Get,true,-1,-1
cumulus-1/data/e5/15/130129,Get,true,3273,-1
cumulus-1/data/e5/3d/191211,Get,true,2219,-1
cumulus-1/data/e6/f8/228182,Get,false,3212,0
cumulus-1/data/e7/4b/300803,gvt,true,-1,-1
cumulus-1/data/e8/51/298718,Get,true,1692,-1
cumulus-1/data/e9/02/91676,Get,true,-1,-1
cumulus-1/data/ea/2a/208911,Get,false,3347,2991
cumulus-1/data/ea/8f/29974,Get,true,-1,-1
cumulus-1/data/ed/08/54203,Get,true,-1,-1
cumulus-1/data/f0/89/25754,Get,false,1802,1810
cumulus-1/data/f0/b7/445709,Get,true,-1,-1
cumulus-1/data/f4/1b/445254,Get,true,2843,-1
cumulus-1/data/f4/ff/406797,Godep,false,0,0
cumulus-1/data/f5/af/464016,Get,false,3227,0
cumulus-1/data/f6/38/246834,Get,true,744,-1
cumulus-1/data/f6/78/282118,Get,false,2044,0
cumulus-1/data/f9/78/467147,Get,true,-1,-1
cumulus-1/data/f9/f8/411907,gpm,true,-1,-1
cumulus-1/data/fa/3c/455555,Get,false,3480,3793
cumulus-1/data/fc/7e/82559,Get,true,-1,-1
cumulus-1/data/fd/02/313912,Get,true,-1,-1
cumulus-2/data/00/38/292684,Get,true,0,-1
cumulus-2/data/01/24/83581,Get,true,3172,-1
cumulus-2/data/03/e2/402202,Get,true,-1,-1
cumulus-2/data/06/3c/236180,Get,true,2328,-1
cumulus-2/data/07/8a/62547,Get,false,3327,5060
cumulus-2/data/08/af/242287,Get,true,-1,-1
cumulus-2/data/09/3b/251927,Get,true,-1,-1
cumulus-2/data/0d/2f/374194,Get,true,0,-1
cumulus-2/data/0d/68/347191,Get,true,-1,-1
cumulus-2/data/11/0d/71570,Get,true,0,-1
cumulus-2/data/13/d8/189606,Get,true,3847,-1
cumulus-2/data/14/0c/154896,Get,true,770,-1
cumulus-2/data/14/69/249955,Get,true,3182,-1
cumulus-2/data/15/a8/474846,Get,true,-1,-1
cumulus-2/data/16/02/263228,Get,false,1200,0
cumulus-2/data/16/cc/269023,Get,true,-1,-1
cumulus-2/data/1d/70/122250,Get,false,2605,2729
cumulus-2/data/21/b2/394979,Get,false,2434,0
cumulus-2/data/22/f2/264692,Get,true,1949,-1
cumulus-2/data/24/71/360042,Get,true,145,-1
cumulus-2/data/26/e1/418931,Get,true,3277,-1
cumulus-2/data/27/83/102720,Get,false,3602,0
cumulus-2/data/28/d7/335166,Get,true,2481,-1
cumulus-2/data/2b/40/121612,Get,true,3160,-1
cumulus-2/data/34/6e/295299,Get,true,3629,-1
cumulus-2/data/3b/ba/321066,Get,true,2543,-1
cumulus-2/data/3e/e1/440718,Get,false,3461,0
cumulus-2/data/3f/88/465751,Get,true,-1,-1
cumulus-2/data/45/a9/338853,Get,true,-1,-1
cumulus-2/data/45/c7/229510,Get,true,-1,-1
cumulus-2/data/46/0c/330151,Get,true,-1,-1
cumulus-2/data/46/7b/449103,Get,true,2565,-1
cumulus-2/data/46/cc/466912,Get,true,3054,-1
cumulus-2/data/47/0e/12054,Godep,true,0,-1
cumulus-2/data/47/19/6676,Get,false,3012,3507
cumulus-2/data/4b/82/361236,Get,true,-1,-1
cumulus-2/data/4d/76/213408,Get,true,3047,-1
cumulus-2/data/54/6a/375658,Get,true,2242,-1
cumulus-2/data/56/79/218289,Glide,true,1093,-1
cumulus-2/data/59/a8/436618,Get,true,-1,-1
cumulus-2/data/59/ab/140751,Get,true,0,-1
cumulus-2/data/5a/88/375963,Get,true,3036,-1
cumulus-2/data/5a/d3/255626,Get,false,3706,0
cumulus-2/data/5c/f3/95727,Get,false,3177,0
cumulus-2/data/5d/ec/381128,Get,true,-1,-1
cumulus-2/data/5e/d4/420628,Get,true,24,-1
cumulus-2/data/60/3b/423620,Get,true,0,-1
cumulus-2/data/60/a5/437633,Get,true,-1,-1
cumulus-2/data/69/6f/472566,Get,true,2628,-1
cumulus-2/data/6c/43/392641,Glide,true,-1,-1
cumulus-2/data/6c/d4/164625,Get,true,0,-1
cumulus-2/data/6e/25/75415,Govendor,true,-1,-1
cumulus-2/data/6f/1a/56719,Get,true,3178,-1
cumulus-2/data/6f/c2/91056,Get,true,3246,-1
cumulus-2/data/74/5a/48161,gvt,true,-1,-1
cumulus-2/data/75/4a/406056,Get,true,0,-1
cumulus-2/data/76/7d/233802,Get,true,0,-1
cumulus-2/data/77/31/138230,Get,true,-1,-1
cumulus-2/data/78/a9/254554,Get,true,-1,-1
cumulus-2/data/79/48/222857,Get,true,3566,-1
cumulus-2/data/7a/4e/94868,Govendor,true,1106,-1
cumulus-2/data/7c/87/402043,Get,true,0,-1
cumulus-2/data/7f/56/439094,Get,true,0,-1
cumulus-2/data/7f/97/62286,Get,false,0,0
cumulus-2/data/81/02/156096,Glide,true,-1,-1
cumulus-2/data/81/8c/429874,Glide,true,2004,-1
cumulus-2/data/84/82/284966,Godep,true,0,-1
cumulus-2/data/8a/c2/354468,Get,true,3162,-1
cumulus-2/data/8b/eb/255450,Get,true,1075,-1
cumulus-2/data/90/23/193387,Get,false,2435,0
cumulus-2/data/97/99/230555,Glide,true,-1,-1
cumulus-2/data/97/d6/421485,Get,true,2956,-1
cumulus-2/data/9e/09/365733,Get,true,0,-1
cumulus-2/data/9f/e4/235622,Get,false,0,0
cumulus-2/data/a0/ff/297557,Get,true,3121,-1
cumulus-2/data/a1/80/144927,Get,true,1990,-1
cumulus-2/data/a1/f3/243636,Get,true,0,-1
cumulus-2/data/a7/fb/172167,Get,true,1878,-1
cumulus-2/data/aa/6b/6369,Get,true,3036,-1
cumulus-2/data/ab/22/309713,Get,true,-1,-1
cumulus-2/data/ae/1c/297893,Get,true,-1,-1
cumulus-2/data/ae/84/359791,Get,true,-1,-1
cumulus-2/data/af/c5/264230,Get,true,2820,-1
cumulus-2/data/af/f9/269863,Get,false,3301,0
cumulus-2/data/b1/3f/247181,Govendor,true,2206,-1
cumulus-2/data/b1/8c/216766,Get,true,-1,-1
cumulus-2/data/b2/df/451496,Get,true,-1,-1
cumulus-2/data/b4/fa/307445,Get,true,0,-1
cumulus-2/data/b8/94/22929,Get,true,-1,-1
cumulus-2/data/b9/02/176015,Glide,true,1532,-1
cumulus-2/data/bb/99/75067,Get,false,2527,0
cumulus-2/data/bb/ee/344588,Get,true,2258,-1
cumulus-2/data/be/04/244138,Get,true,2946,-1
cumulus-2/data/c0/01/154702,Get,true,2937,-1
cumulus-2/data/c0/73/472515,Get,true,-1,-1
cumulus-2/data/c2/ec/355858,Glide,true,1198,-1
cumulus-2/data/c5/99/444704,Get,true,2126,-1
cumulus-2/data/c8/0d/336313,Get,false,541,0
cumulus-2/data/c8/42/173760,Get,true,3407,-1
cumulus-2/data/cd/81/147106,Godep,true,573,-1
cumulus-2/data/cd/95/340481,Get,false,2127,841
cumulus-2/data/cd/c9/157003,Get,true,3054,-1
cumulus-2/data/cd/d3/339397,Get,true,-1,-1
cumulus-2/data/cf/d6/250749,Get,true,0,-1
cumulus-2/data/d7/09/56329,Get,true,-1,-1
cumulus-2/data/d8/0e/436387,Get,true,2540,-1
cumulus-2/data/d8/35/114479,Get,true,-1,-1
cumulus-2/data/da/82/273779,Get,true,-1,-1
cumulus-2/data/db/d3/258864,Get,true,306,-1
cumulus-2/data/de/21/449509,Get,true,-1,-1
cumulus-2/data/e0/e2/179367,Get,true,-1,-1
cumulus-2/data/e2/87/322193,Get,true,-1,-1
cumulus-2/data/e3/b6/165975,Get,true,-1,-1
cumulus-2/data/e7/f9/231999,Get,true,1511,-1
cumulus-2/data/f0/5e/113600,Godep,false,1679,0
cumulus-2/data/f2/83/139339,Get,false,263,2731
cumulus-2/data/f3/56/43118,Get,true,-1,-1
cumulus-2/data/f3/b5/69103,Get,true,0,-1
cumulus-2/data/f6/de/317197,Get,true,-1,-1
cumulus-2/data/f9/10/473770,Get,true,3205,-1
cumulus-2/data/fb/70/36854,Get,false,0,0
cumulus-2/data/fc/9f/288793,Get,true,-1,-1
cumulus-3/data/00/3d/274035,Get,true,-1,-1
cumulus-3/data/00/dd/44521,Get,false,2816,0
cumulus-3/data/06/a0/257574,Get,true,2691,-1
cumulus-3/data/0a/e8/368285,Get,false,2924,0
cumulus-3/data/0e/92/138585,Get,true,-1,-1
cumulus-3/data/0e/f4/434490,Get,true,-1,-1
cumulus-3/data/15/a1/438982,Govendor,true,399,-1
cumulus-3/data/18/32/471917,Get,false,0,0
cumulus-3/data/18/f0/439881,Glide,true,0,-1
cumulus-3/data/19/40/109719,Glide,true,4816,-1
cumulus-3/data/1a/8d/331261,Get,true,0,-1
cumulus-3/data/23/7f/262503,Get,false,0,0
cumulus-3/data/25/3d/446766,Get,true,4456,-1
cumulus-3/data/2d/09/460805,Get,true,1727,-1
cumulus-3/data/2e/2e/397223,Get,true,-1,-1
cumulus-3/data/32/62/262730,Get,false,0,0
cumulus-3/data/33/1c/16046,Get,true,0,-1
cumulus-3/data/34/66/59937,Get,true,-1,-1
cumulus-3/data/37/9a/438337,Get,true,3403,-1
cumulus-3/data/39/4a/318699,Govendor,true,497,-1
cumulus-3/data/39/e5/378553,Get,false,1453,0
cumulus-3/data/3a/17/160270,Get,false,3640,0
cumulus-3/data/3a/96/228198,Get,true,2403,-1
cumulus-3/data/3a/b3/285480,Govendor,true,-1,-1
cumulus-3/data/3b/00/66789,Govendor,true,745,-1
cumulus-3/data/3b/67/67992,Get,true,-1,-1
cumulus-3/data/3f/fd/59774,Get,true,-1,-1
cumulus-3/data/45/24/336078,Get,false,3076,4152
cumulus-3/data/45/e2/227881,Glide,true,2002,-1
cumulus-3/data/57/46/234458,Get,true,-1,-1
cumulus-3/data/5d/ae/135005,Get,true,0,-1
cumulus-3/data/5e/f5/253055,Get,true,3165,-1
cumulus-3/data/5e/f7/425460,Glide,true,-1,-1
cumulus-3/data/62/c8/388275,Get,true,-1,-1
cumulus-3/data/64/fd/89041,Get,true,-1,-1
cumulus-3/data/68/0b/438372,Get,true,0,-1
cumulus-3/data/6a/d8/53950,Get,true,3514,-1
cumulus-3/data/6b/b5/426506,Get,false,1986,0
cumulus-3/data/6c/a9/319751,Get,true,3632,-1
cumulus-3/data/6d/fe/29140,Get,true,-1,-1
cumulus-3/data/6f/35/306661,Get,true,0,-1
cumulus-3/data/6f/b3/113652,Get,true,3850,-1
cumulus-3/data/70/5b/61151,Glide,true,0,-1
cumulus-3/data/72/d9/126754,Get,true,2898,-1
cumulus-3/data/73/06/37887,Get,true,-1,-1
cumulus-3/data/76/92/127102,Get,true,2947,-1
cumulus-3/data/77/75/355132,Get,true,430,-1
cumulus-3/data/7b/2b/391290,Get,true,0,-1
cumulus-3/data/7b/63/462992,Get,true,-1,-1
cumulus-3/data/7d/57/178271,Get,true,-1,-1
cumulus-3/data/7d/70/86468,Get,false,0,0
cumulus-3/data/7e/d4/54081,Get,true,944,-1
cumulus-3/data/7f/9f/202485,Get,true,-1,-1
cumulus-3/data/7f/f6/54733,Govendor,true,495,-1
cumulus-3/data/80/c9/239602,Get,true,3738,-1
cumulus-3/data/82/df/391690,Get,false,2161,0
cumulus-3/data/83/db/1138,Get,true,-1,-1
cumulus-3/data/86/0d/377297,Glide,true,-1,-1
cumulus-3/data/89/f0/51902,Get,true,2865,-1
cumulus-3/data/8a/dd/385949,Get,true,-1,-1
cumulus-3/data/8c/ce/377976,gvt,true,-1,-1
cumulus-3/data/91/f9/372675,Get,true,2848,-1
cumulus-3/data/92/85/90107,Get,true,-1,-1
cumulus-3/data/95/77/380610,Get,true,-1,-1
cumulus-3/data/97/1a/412603,Get,true,0,-1
cumulus-3/data/97/29/182571,gvt,true,-1,-1
cumulus-3/data/98/04/423869,Get,true,0,-1
cumulus-3/data/99/4d/370719,Get,false,0,0
cumulus-3/data/9e/88/427368,Get,true,-1,-1
cumulus-3/data/a2/46/466867,Get,true,0,-1
cumulus-3/data/a3/1e/287903,Get,true,-1,-1
cumulus-3/data/a3/2e/326250,Get,true,0,-1
cumulus-3/data/a3/75/183410,Get,true,0,-1
cumulus-3/data/a4/79/182172,Get,true,3003,-1
cumulus-3/data/a4/a1/68303,Glide,true,3412,-1
cumulus-3/data/ab/7d/309494,Govendor,true,-1,-1
cumulus-3/data/ad/14/369733,Glide,true,1335,-1
cumulus-3/data/ad/2a/444879,Get,true,2440,-1
cumulus-3/data/af/eb/207448,Get,false,0,0
cumulus-3/data/b1/d3/109544,Get,false,3114,0
cumulus-3/data/b3/04/174208,Glide,true,1735,-1
cumulus-3/data/b3/63/31509,Get,false,1104,0
cumulus-3/data/b8/b3/271454,Get,true,0,-1
cumulus-3/data/b9/03/56380,Get,true,-1,-1
cumulus-3/data/b9/13/454146,Get,false,2707,0
cumulus-3/data/ba/05/252101,Get,true,-1,-1
cumulus-3/data/c0/12/50140,Get,true,-1,-1
cumulus-3/data/c5/3b/38532,Get,true,-1,-1
cumulus-3/data/c5/eb/413546,Get,true,0,-1
cumulus-3/data/c8/1f/21746,Get,true,0,-1
cumulus-3/data/c9/49/268229,Get,true,-1,-1
cumulus-3/data/c9/72/275945,Get,true,-1,-1
cumulus-3/data/ca/6c/34547,Get,true,3059,-1
cumulus-3/data/cc/79/430330,Get,false,0,3020
cumulus-3/data/cc/cf/25717,Get,false,1130,0
cumulus-3/data/cc/e8/46818,Get,true,0,-1
cumulus-3/data/cd/fe/297913,Get,true,-1,-1
cumulus-3/data/d1/41/132996,Govendor,true,2000,-1
cumulus-3/data/d3/6e/203651,Get,true,2392,-1
cumulus-3/data/d4/48/201555,Get,true,2872,-1
cumulus-3/data/d7/e8/391245,Get,true,3277,-1
cumulus-3/data/d9/9d/307071,Get,true,0,-1
cumulus-3/data/dd/70/83334,Govendor,true,0,-1
cumulus-3/data/e1/32/242473,Get,true,2646,-1
cumulus-3/data/e4/2f/452400,Get,true,-1,-1
cumulus-3/data/e4/5d/20194,Get,true,-1,-1
cumulus-3/data/e7/01/192664,Govendor,true,-1,-1
cumulus-3/data/e7/6d/41206,Get,true,-1,-1
cumulus-3/data/ea/85/357973,Get,true,-1,-1
cumulus-3/data/f0/98/131909,Get,true,-1,-1
cumulus-3/data/f1/55/284592,trash,false,975,0
cumulus-3/data/f1/76/360735,Get,true,952,-1
cumulus-3/data/f1/8a/352014,Get,true,942,-1
cumulus-3/data/f1/a8/44664,Get,true,3533,-1
cumulus-3/data/f6/43/190100,Get,true,-1,-1
cumulus-3/data/f7/2b/112041,Get,false,3149,0
cumulus-3/data/f8/07/165375,Get,true,3149,-1
cumulus-3/data/f8/79/52952,Get,true,0,-1
cumulus-3/data/f9/53/350851,Govendor,true,-1,-1
cumulus-3/data/fc/63/188161,Get,true,0,-1
cumulus-3/data/fd/ad/270683,Get,true,2248,-1
cumulus-4/data/03/07/370048,Get,true,-1,-1
cumulus-4/data/04/a7/237042,Get,true,3081,-1
cumulus-4/data/07/0f/12009,Get,true,3056,-1
cumulus-4/data/08/d6/269562,Get,false,0,0
cumulus-4/data/0a/eb/137940,Get,false,3956,0
cumulus-4/data/0d/6f/194543,Govendor,true,1101,-1
cumulus-4/data/14/b2/359030,Glide,false,2561,0
cumulus-4/data/16/e2/12182,Get,true,2001,-1
cumulus-4/data/18/d5/257670,Godep,true,2672,-1
cumulus-4/data/1a/68/447198,Get,false,3862,0
cumulus-4/data/1c/77/34121,gvt,true,-1,-1
cumulus-4/data/20/aa/202156,Get,true,-1,-1
cumulus-4/data/22/c8/323774,Get,false,1322,0
cumulus-4/data/28/71/128335,Glide,true,2438,-1
cumulus-4/data/36/92/196273,Get,true,-1,-1
cumulus-4/data/39/fa/407210,Get,true,-1,-1
cumulus-4/data/3c/e6/195683,Glide,true,607,-1
cumulus-4/data/3d/35/88100,Get,false,2755,2802
cumulus-4/data/3f/70/339350,Get,true,-1,-1
cumulus-4/data/41/e7/119605,Get,true,2188,-1
cumulus-4/data/48/1c/175815,Get,true,0,-1
cumulus-4/data/48/b1/327459,Get,false,0,0
cumulus-4/data/49/e0/213173,Glide,true,2258,-1
cumulus-4/data/4b/aa/56526,Get,false,0,0
cumulus-4/data/4d/f3/292141,Get,true,3040,-1
cumulus-4/data/4d/fe/14912,Get,false,2814,0
cumulus-4/data/4e/be/57977,Godep,true,3038,-1
cumulus-4/data/55/11/4328,Get,false,0,0
cumulus-4/data/56/15/226980,Get,true,3153,-1
cumulus-4/data/56/d7/323053,Glide,true,2540,-1
cumulus-4/data/59/83/7997,Get,true,0,-1
cumulus-4/data/5a/67/148159,Get,false,3502,0
cumulus-4/data/5a/d1/271894,Get,true,-1,-1
cumulus-4/data/5a/f0/328879,Get,true,3618,-1
cumulus-4/data/5d/91/21986,Get,true,-1,-1
cumulus-4/data/5d/b8/289066,Get,true,2784,-1
cumulus-4/data/63/54/162304,Get,true,-1,-1
cumulus-4/data/64/d3/58129,Get,true,1717,-1
cumulus-4/data/65/df/477385,Get,true,-1,-1
cumulus-4/data/66/84/146816,Get,true,0,-1
cumulus-4/data/70/ae/100834,Glide,true,0,-1
cumulus-4/data/74/4e/298657,Get,false,3642,0
cumulus-4/data/7a/ce/104828,Get,true,-1,-1
cumulus-4/data/7d/2f/378052,Glide,true,1630,-1
cumulus-4/data/81/22/284679,Get,true,-1,-1
cumulus-4/data/83/b2/364595,Get,true,-1,-1
cumulus-4/data/86/c5/330309,Get,true,-1,-1
cumulus-4/data/88/8c/96845,Get,true,-1,-1
cumulus-4/data/89/ed/247627,Get,true,0,-1
cumulus-4/data/8b/1c/55384,Get,true,-1,-1
cumulus-4/data/8c/e2/211966,Get,true,0,-1
cumulus-4/data/8d/ea/165320,Glide,true,-1,-1
cumulus-4/data/8f/9d/446712,Get,false,388,0
cumulus-4/data/8f/cf/291602,Get,true,-1,-1
cumulus-4/data/90/01/85257,Get,true,-1,-1
cumulus-4/data/92/15/458581,Get,true,3659,-1
cumulus-4/data/97/ee/101861,Get,true,1005,-1
cumulus-4/data/98/e7/169192,Govendor,true,907,-1
cumulus-4/data/99/46/101415,Get,true,-1,-1
cumulus-4/data/9c/06/274536,Glide,true,1313,-1
cumulus-4/data/9d/a0/347076,Godep,true,-1,-1
cumulus-4/data/a1/b5/139211,Get,true,2643,-1
cumulus-4/data/a1/c5/245931,Get,false,3694,5590
cumulus-4/data/a4/cc/171583,Get,true,0,-1
cumulus-4/data/a9/f1/47895,Get,false,1176,0
cumulus-4/data/ae/17/207071,Govendor,true,-1,-1
cumulus-4/data/af/31/269572,Get,true,-1,-1
cumulus-4/data/af/7b/33159,Glide,true,536,-1
cumulus-4/data/b2/2e/450197,Get,true,3198,-1
cumulus-4/data/b3/9c/370471,Get,true,-1,-1
cumulus-4/data/b4/77/278182,Get,true,-1,-1
cumulus-4/data/b5/4d/437252,Glide,true,0,-1
cumulus-4/data/b7/ad/254799,Glide,true,3036,-1
cumulus-4/data/ba/c2/20406,Get,true,2017,-1
cumulus-4/data/c0/13/68766,Get,true,3869,-1
cumulus-4/data/c1/e9/92347,Get,true,0,-1
cumulus-4/data/c2/1c/403001,Get,false,2515,0
cumulus-4/data/c2/96/21213,Get,true,2843,-1
cumulus-4/data/c3/2d/449157,Get,true,-1,-1
cumulus-4/data/c8/1e/345730,Get,true,-1,-1
cumulus-4/data/cd/42/225952,Get,true,-1,-1
cumulus-4/data/d1/d4/263648,Get,true,-1,-1
cumulus-4/data/d2/0a/204004,Get,true,0,-1
cumulus-4/data/d2/1d/38617,Get,true,0,-1
cumulus-4/data/d4/bb/476115,Get,false,0,0
cumulus-4/data/d8/44/63367,gpm,true,-1,-1
cumulus-4/data/d8/4d/183160,Get,true,1913,-1
cumulus-4/data/da/a3/423683,Get,true,-1,-1
cumulus-4/data/db/d5/427234,Get,true,0,-1
cumulus-4/data/dc/9f/223895,Govendor,true,0,-1
cumulus-4/data/dd/10/317472,Get,true,0,-1
cumulus-4/data/dd/ea/68606,Get,true,3722,-1
cumulus-4/data/dd/f4/5071,Get,true,0,-1
cumulus-4/data/de/d4/204642,Get,true,-1,-1
cumulus-4/data/e1/75/205869,Get,true,2408,-1
cumulus-4/data/e7/7f/313625,Get,true,0,-1
cumulus-4/data/e7/a2/87494,Get,true,-1,-1
cumulus-4/data/e8/4e/30960,Get,true,-1,-1
cumulus-4/data/e9/b9/225746,Get,true,0,-1
cumulus-4/data/ea/35/301104,Get,true,0,-1
cumulus-4/data/eb/3f/431218,Get,true,-1,-1
cumulus-4/data/eb/8e/336909,Get,true,0,-1
cumulus-4/data/f0/71/277805,Get,true,-1,-1
cumulus-4/data/f0/d0/415554,Glide,false,130,0
cumulus-4/data/f2/1d/185693,Get,true,2283,-1
cumulus-4/data/f2/a2/101104,Get,true,-1,-1
cumulus-4/data/f6/de/471431,Get,true,2367,-1
cumulus-4/data/f7/b5/89087,Get,true,0,-1
cumulus-4/data/f7/ed/11545,Get,false,0,0
cumulus-4/data/f8/27/280297,Get,true,-1,-1
cumulus-4/data/f9/67/448389,Get,false,1326,2786
cumulus-4/data/fb/66/124393,Get,false,0,0
cumulus-4/data/fb/7c/111561,trash,true,2492,-1
cumulus-4/data/fd/55/203411,Glide,true,0,-1
cumulus-4/data/fd/91/271204,Get,true,3359,-1
cumulus-4/data/fd/b5/164415,Get,true,3481,-1
cumulus-4/data/fe/eb/196193,Get,true,2528,-1
