project_name,function,executions,mean,cv,rciw95,rciw99,rciw99mjhd,rmad,rmadhd
ironsmile/nedomi,/app/request_id_test.go/BenchmarkNewIDFor,5,132.8,11.020762877395,16.415662650602407,20.632530120481928,37.788204459217155,1.2885192857142858,6.640580067454619
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkFilling,5,2982997000.0,2.720419626599986,4.574627463587794,5.499703821358184,10.411056892957758,4.132418478134966,3.9201079966350076
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkLookupAndRemove,5,15270.2,0.5336569936394224,0.7269059999214156,0.8749066809864869,2.048483990868371,0.2120188442703232,0.6029033830374956
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkResizeByQuater,5,227531800.0,2.519345758056208,3.366650288003699,3.963358088847361,10.44982697788543,0.9539207880894974,3.3851813676384395
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkResizeInHalf,5,344896800.0,2.2770934816627535,3.590465321800608,4.304389023035296,9.817955734856456,1.9339557677469037,3.5464976841924907
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkResizeInQuater,5,443025600.0,50.07527465361156,67.60688321397228,90.08547135876572,204.44204167219598,0.7757851173755365,26.664856788529466
ironsmile/nedomi,/types/bench_test.go/BenchmarkHash,5,185.4,3.4452469088826994,4.530744336569582,5.393743257820927,13.844909561341154,0.0,3.8662675386585152
ironsmile/nedomi,/types/bench_test.go/BenchmarkHashStr,5,1633.4,0.31988124103374876,0.5265091220766582,0.6734419003305987,1.21815923171579,0.44186821800367426,0.46944454082483816
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkKetama,5,2186.2,0.4172263928640154,0.7501600951422602,0.9056810904766137,1.6303863748552232,0.7416785290086798,0.616075627505657
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkLegacyKetama,5,2233.2,0.5432832128999857,0.8507970625111948,1.0567795092244272,2.1234636354025316,0.48557927321668914,0.7024938428145137
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkRandom,5,2161.6,0.4322468033604026,0.6106587712805456,0.7864544781643227,1.7653064438963872,0.751288431281814,0.7004161722810001
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkRendezvous,5,2341.4,0.6903893619974438,1.1189886392756394,1.3923293755872514,2.414762215709661,0.6175188703465982,0.7065358561573143
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkUnweightedRandom,5,2157.0,0.2622556443900037,0.3523412146499726,0.4172461752433936,1.0639133313914706,0.2505454166666667,0.389360630880367
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkUnweightedRoundRobin,5,2127.2,0.8809858424311756,1.1094396389620331,1.4103046257991727,3.2622682238230922,0.9333582784571967,1.1887081330256872
ironsmile/nedomi,/utils/throttle/throttled_writer_bench_test.go/BenchmarkThrottledWriter,5,4039541000.0,0.35341145596978335,0.39952558966476637,0.525109164630338,1.5450486589964483,0.06596174814039668,0.5023239054317395
ironsmile/nedomi,/utils/throttle/throttled_writer_bench_test.go/BenchmarkThrottledWriterWithReadFrom,5,4038943000.0,0.07653330502710841,0.11101914535560418,0.1452855363395819,0.2666062631761282,0.01444431285470427,0.04113678433524533
ironsmile/nedomi,/utils/throttle/timers_test.go/BenchmarkParallelSleepWithPooledTimer,5,62523360.0,0.3040206007536606,0.4972381522682082,0.6891984052040709,1.104794754140266,0.4550638060520012,0.3998744766915108
ironsmile/nedomi,/utils/throttle/timers_test.go/BenchmarkParallelSleepWithSTD,5,62051770.0,0.7689066192818199,1.2528248589846833,1.606867942687211,2.6861189374301175,0.7041318176878623,0.7973919675942591
tidwall/buntdb,buntdb_test.go/Benchmark_Ascend_1,5,286.8,0.2917224639240152,0.4184100418410002,0.5578800557880135,1.1284423308948754,0.6285459930313589,0.3887112051601504
tidwall/buntdb,buntdb_test.go/Benchmark_Ascend_10,5,402.4,0.3334097381957937,0.4473161033797245,0.5964214711729565,1.1711735396940874,0.0,0.14661102030741593
tidwall/buntdb,buntdb_test.go/Benchmark_Ascend_100,5,1535.0,0.0921311767018303,0.15635179153095055,0.208469055374581,0.3061260999991539,0.0,0.07461089079869708
tidwall/buntdb,buntdb_test.go/Benchmark_Ascend_1000,5,13255.6,0.12652765983422437,0.21726666465493283,0.2776185159479712,0.49032721196111667,0.21783269433962266,0.18532019688048124
tidwall/buntdb,buntdb_test.go/Benchmark_Ascend_10000,5,129334.0,0.3331479203682633,0.6131411693754155,0.6465430590563943,1.4520707003207631,0.2039803759381027,0.5089545196801445
tidwall/buntdb,buntdb_test.go/Benchmark_Descend_1,5,289.0,0.5993255389511686,0.6228373702422184,0.6920415224913495,2.158276063592211,0.0,0.41781916468514946
tidwall/buntdb,buntdb_test.go/Benchmark_Descend_10,5,394.4,0.1388748878055695,0.202839756592295,0.2535496957403651,0.6239645615131961,0.0,0.19824477613265093
tidwall/buntdb,buntdb_test.go/Benchmark_Descend_100,5,1483.2,0.03015194144417192,0.04045307443365082,0.053937432578206206,0.1060375383206731,0.0,0.01327409744792705
tidwall/buntdb,buntdb_test.go/Benchmark_Descend_1000,5,12849.0,0.9946804759723031,1.4351311386100056,1.8491711417230943,3.5118105923659027,0.11284241144733755,0.5618934231366319
tidwall/buntdb,buntdb_test.go/Benchmark_Descend_10000,5,127038.2,1.7196371786431754,1.920052393689455,2.5554518247267426,7.654684884042881,0.2644085012825211,2.496490982492544
tidwall/buntdb,buntdb_test.go/Benchmark_Get_1,5,815.4,0.7337883395463131,1.005641402992402,1.2754476330635245,2.9258730766825987,1.3296759213759215,1.138490580427519
tidwall/buntdb,buntdb_test.go/Benchmark_Get_10,5,584.6,0.7514841818846664,1.3000342114266203,1.607937050975041,2.8631014944464215,1.2376857632933105,1.0788876262354412
tidwall/buntdb,buntdb_test.go/Benchmark_Get_100,5,541.6,0.9007615153360758,1.5878877400295464,2.0679468242245282,3.227835184808519,1.3288596685082874,1.1347108615644168
tidwall/buntdb,buntdb_test.go/Benchmark_Set_NoPersist_Random_1,5,2287.8,1.236076905731502,2.0019232450388897,2.4827345047643905,5.287397686920608,2.130622440944882,2.088155793697644
tidwall/buntdb,buntdb_test.go/Benchmark_Set_NoPersist_Random_10,5,1476.6,0.9703571507290855,1.5305431396451246,1.936882026276591,3.2828190202564262,0.6115006779661017,1.0051951569014055
tidwall/buntdb,buntdb_test.go/Benchmark_Set_NoPersist_Random_100,5,1435.8,0.5056049982694397,0.7661234155174816,0.849700515392119,2.0980556879153407,0.6294232379623169,0.8120792491057414
tidwall/buntdb,buntdb_test.go/Benchmark_Set_NoPersist_Sequential_1,5,1600.4,1.4218457374119986,2.036990752311916,2.636840789802552,4.976128578355659,1.3537913696060038,1.4361907150274202
tidwall/buntdb,buntdb_test.go/Benchmark_Set_NoPersist_Sequential_10,5,864.8,2.3997817979339384,3.700277520814061,4.7872340425532025,9.848727865148705,3.7408624423963137,3.7880639288415465
tidwall/buntdb,buntdb_test.go/Benchmark_Set_NoPersist_Sequential_100,5,805.4,2.623021305413504,4.097342935187485,5.26446486218028,9.781297019419231,2.483504005006258,2.947212103753528
tidwall/buntdb,buntdb_test.go/Benchmark_Set_Persist_Random_1,5,5487.6,1.441488032737321,1.7202420001457763,2.2122603688315405,5.755263466568277,0.9780916320260257,1.9611108109343591
tidwall/buntdb,buntdb_test.go/Benchmark_Set_Persist_Random_10,5,2875.0,2.203005336847302,3.610434782608702,4.097391304347832,8.987340456148901,2.304740987569061,3.24325188510598
tidwall/buntdb,buntdb_test.go/Benchmark_Set_Persist_Random_100,5,2709.0,2.9467678099267234,4.473975636766328,5.677371723883342,11.973459234326937,5.375941390728476,4.767470115921447
tidwall/buntdb,buntdb_test.go/Benchmark_Set_Persist_Sequential_1,5,4522.2,1.521907208496378,2.4855158993410407,2.905665384105074,6.138287027783922,2.2448869333333334,2.393331370294561
tidwall/buntdb,buntdb_test.go/Benchmark_Set_Persist_Sequential_10,5,2030.4,0.9065465220522883,1.4085894405043295,1.7927501970055204,3.125497060099005,0.6229644301924026,0.9232444360461624
tidwall/buntdb,buntdb_test.go/Benchmark_Set_Persist_Sequential_100,5,1856.2,3.2054509121026404,4.385303307833213,5.408899903027696,12.129750929350456,5.5251928533046755,4.170278843763492
robertkrimen/otto,/parser/parser_test.go/BenchmarkParser,5,3279977.0,0.4022185399622905,0.42421029171850905,0.49808276094618953,1.3962756881827612,0.12380492664016282,0.2648838550777315
robertkrimen/otto,call_test.go/BenchmarkNativeCallWithFloat32,5,2046.2,0.3931009197965049,0.5473560746750096,0.5962271527709813,1.3772959115452743,0.1760787701317716,0.24305745550926927
