project_name,function,executions,mean,cv,rciw95,rciw99,rciw99mjhd,rmad,rmadhd,code_pkgfiles,code_fileloc,code_namelength,code_parameters,code_returns,code_loc,code_funccalls,code_loops,code_nestedloops,code_channels,code_sends,code_receives,code_closes,code_gos,code_concrranges,code_selects,code_selectcases,code_variables,code_pointers,code_slices,code_maps,code_ifelses,code_switches,code_switchcases,code_panics,code_recovers,code_defers,code_cyclomaticcomplexity,code_bufio,code_bytes,code_crypto,code_database/sql,code_encoding,code_encoding/binary,code_encoding/csv,code_encoding/json,code_encoding/xml,code_io,code_io/ioutil,code_math,code_math/rand,code_mime,code_net,code_net/http,code_net/http/httptest,code_net/http/httptrace,code_net/http/httputil,code_net/rpc,code_net/rpc/jsonrpc,code_net/smtp,code_net/textproto,code_os,code_os/exec,code_os/signal,code_sort,code_strconv,code_sync,code_sync/atomic,code_syscall,bench_pkgfiles,bench_fileloc,bench_namelength,bench_parameters,bench_returns,bench_loc,bench_funccalls,bench_loops,bench_nestedloops,bench_channels,bench_sends,bench_receives,bench_closes,bench_gos,bench_concrranges,bench_selects,bench_selectcases,bench_variables,bench_pointers,bench_slices,bench_maps,bench_ifelses,bench_switches,bench_switchcases,bench_panics,bench_recovers,bench_defers,bench_cyclomaticcomplexity,bench_bufio,bench_bytes,bench_crypto,bench_database/sql,bench_encoding,bench_encoding/binary,bench_encoding/csv,bench_encoding/json,bench_encoding/xml,bench_io,bench_io/ioutil,bench_math,bench_math/rand,bench_mime,bench_net,bench_net/http,bench_net/http/httptest,bench_net/http/httptrace,bench_net/http/httputil,bench_net/rpc,bench_net/rpc/jsonrpc,bench_net/smtp,bench_net/textproto,bench_os,bench_os/exec,bench_os/signal,bench_sort,bench_strconv,bench_sync,bench_sync/atomic,bench_syscall
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub128k,10,27994.0,3.3742742301064768,3.9204829606344216,5.050010716582127,6.548538695104354,2.573961543052466,2.882591208500284,7970,204563,26,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub16k,10,4508.0,2.09091636610073,2.50443655723158,3.303016858917492,3.4161931599488997,1.407431341625944,1.64979908469501,7970,204563,25,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub1k,10,580.6,5.382160213576785,5.838787461247001,7.457802273510154,15.15634677506348,7.797334642233856,7.519619519442425,7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub1m,10,252250.2,9.809658888764872,10.937037909186992,14.004746081469904,35.65446380954606,8.036889175993375,11.43176064352185,7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub256,10,413.3,6.722740848536128,8.032905879506409,10.210500846842484,18.84106295820134,9.510327804878049,9.15978718399894,7970,204563,25,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub256k,10,54156.8,4.450732298593263,5.387504431576468,6.838476424013236,7.226529598143844,0.842455602361275,1.9607100837334104,7970,204563,26,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub2k,10,809.8,5.978281019349659,7.285749567794518,9.397382069646827,16.982136548329606,6.340218536585367,7.375863245950313,7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub32k,10,7913.9,0.9900875186389424,1.2724446859323446,1.6477337343155782,2.1632330056333933,0.996421705867476,1.0435149148856593,7970,204563,25,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub4k,10,1529.0,4.189487642011358,4.453891432308708,5.689993459777633,12.069848968603882,3.9415657361249594,5.139708182859988,7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub512,10,452.8,5.290938503938149,6.713780918727923,8.635159010600699,10.496315322188597,4.518022803114572,4.800076173550394,7970,204563,25,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
